! ------------ AirfoilInfo v1.00.x Input File ----------------------------------
! SH3052 _15te (15th element) data from T Hanley XFOIL predictions
! Reinterpolated and foilchecked by CH Feb04
! note that this file uses Marshall Buhl's new input file processing; start all comment lines with !
! ------------------------------------------------------------------------------
1.0         NonDimArea        ! The non-dimensional area of the airfoil (area/chord^2) (set to 1.0 if unsure or unneeded)
  0         NumCoords         ! The number of coordinates in the airfoil shape file.  Set to zero if coordinates not included.
!3           NumTabs           ! Number of airfoil tables in this file.  Each table must have lines for Re and Ctrl.
!bjj: removed additional tables because this feature is apparently not yet available in AFI.
1           NumTabs           ! Number of airfoil tables in this file.  Each table must have lines for Re and Ctrl.
! ------------------------------------------------------------------------------
! data for table 1
! ------------------------------------------------------------------------------
0.3         Re                ! Reynolds numbers in millions
0.0         Ctrl              ! Control setting (must be 0 for current AirfoilInfo)
False       InclUAdata        ! Is unsteady aerodynamics data included in this table? If TRUE, then include 30 UA coefs below this line
!........................................
  70       NumAlf            ! Number of data lines in the following table
!    Alpha  Cl      Cd
!    (deg)  (-)     (-)
     -180   0        -0.0432
     -170   0.3508   -0.0036
     -160   0.7015   0.1103
     -150   0.89     0.2851
     -140   0.7484   0.4999
     -130   0.6241   0.7293
     -120   0.487    0.9459
     -110   0.3316   1.1243
     -100   0.1646   1.2436
     -90    0        1.29
     -80   -0.1646   1.2436
     -70   -0.3316   1.1243
     -60   -0.487    0.9459
     -50   -0.6241   0.7293
     -40   -0.7484   0.4999
     -30   -0.89     0.2851
     -20   -0.6574   0.1601
     -10   -0.2275   0.1065
     -8    -0.2222   0.0803
     -7    -0.1122   0.0437
     -6     0.008    0.0344
     -5     0.1004   0.0296
     -4     0.1933   0.0258
     -3     0.2844   0.0216
     -2     0.3822   0.0224
     -1     0.4762   0.0226
     0      0.5709   0.0228
     1      0.6641   0.023
     2      0.7556   0.0236
     3      0.8425   0.0242
     4      0.9266   0.025
     5      1.0058   0.0256
     6      1.0857   0.0274
     7      1.1651   0.0292
     8      1.2249   0.0316
     9      1.2528   0.034
     10     1.2658   0.0372
     11     1.2653   0.0421
     12     1.2518   0.0495
     13     1.2221   0.0601
     14     1.1718   0.0765
     15     1.1099   0.0984
     16     1.0329   0.1273
     17     0.967    0.1558
     18     0.9182   0.1804
     19     0.8786   0.2021
     20     0.9022   0.2217
     21     0.9442   0.2318
     22     0.9952   0.2365
     23     1.0526   0.237
     24     1.1203   0.2309
     25     1.1776   0.2301
     26     1.2083   0.2431
     27     1.2348   0.2584
     30     1.2715   0.2851
     40     1.0691   0.4999
     50     0.8915   0.7293
     60     0.6958   0.9459
     70     0.4738   1.1243
     80     0.2352   1.2436
     90     0        1.29
     100   -0.1646   1.2436
     110   -0.3316   1.1243
     120   -0.487    0.9459
     130   -0.6241   0.7293
     140   -0.7484   0.4999
     150   -0.89     0.2851
     160   -0.7015   0.1103
     170   -0.3508  -0.0036
     180    0       -0.0432
! ------------------------------------------------------------------------------
! data for table 2
! ------------------------------------------------------------------------------
0.6         Re                ! Reynolds numbers in millions
0.0         Ctrl              ! Control setting (must be 0 for current AirfoilInfo)
False       InclUAdata        ! Is unsteady aerodynamics data included in this table? If TRUE, then include 30 UA coefs below this line
!........................................
  70       NumAlf            ! Number of data lines in the following table
!    Alpha  Cl         Cd
!    (deg)  (-)        (-)
     -180   0        -0.0476
     -170   0.3571   -0.008
     -160   0.7142    0.1061
     -150   0.9047    0.2812
     -140   0.7573    0.4965
     -130   0.6294    0.7264
     -120   0.4899    0.9437
     -110   0.3329    1.1228
     -100   0.1649    1.2428
     -90    0         1.29
     -80   -0.1649    1.2428
     -70   -0.3329    1.1228
     -60   -0.4899    0.9437
     -50   -0.6294    0.7264
     -40   -0.7573    0.4965
     -30   -0.9047    0.2812
     -20   -0.6568    0.1484
     -10   -0.2033    0.0687
     -8    -0.1795    0.0356
     -7    -0.0827    0.0295
     -6     0.0139    0.0257
     -5     0.1031    0.0232
     -4     0.1954    0.0204
     -3     0.2853    0.0166
     -2     0.3813    0.0164
     -1     0.477     0.0168
     0      0.5716    0.0172
     1      0.6642    0.0176
     2      0.7555    0.0182
     3      0.8446    0.019
